[0902/192558.468:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0903/194915.612:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0916/082552.992:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082558.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082603.010:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082608.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082613.027:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082618.035:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082623.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082628.056:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082633.060:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082638.068:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082643.074:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082648.080:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082653.093:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082658.102:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082703.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082708.111:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082713.115:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082718.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082723.125:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082728.129:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082733.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082738.143:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082743.147:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082748.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082753.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082758.162:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082803.168:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082808.171:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082813.176:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/082818.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
